Marks,Mid1,Mid2,Result,SPI
,4,6,2,1.91
,14,4,2,2.59
,42,17,1,6.68
,40,27,1,6.91
,38,13,2,2
,32,12,2,3.59
,50,29,1,7.09
,22,9,1,6.27
,22,12,2,4.23
,31,21,2,5.18
,64,48,1,7.18
,0,16,2,2.64
,31,22,2,3
,22,17,2,3.95
,24,11,1,7
,23,10,2,3.95
,35,6,2,2.59
,69,33,1,8.41
,60,28,1,8.27
,0,6,2,2.45
,29,15,2,4
,20,14,2,2.86
,40,26,2,5.91
,70,39,1,8.82
,0,17,2,0
,17,2,2,2.73
,28,12,2,4.09
,18,18,2,3.68
,40,17,1,6.59
,21,6,2,2.64
,32,16,2,4.45
,12,14,2,4.09
,70,46,1,9.27
,0,0,2,0
,46,16,2,1.91
,28,10,2,2.82
,0,2,2,0
,0,16,2,0
,29,9,1,6.91
